dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
crop_type,озимая пшеница,810,0.07564798728294911,7.31,B,0,0,catboost
crop_type,подсолнечник,71,0.06895813771254809,9.31,B,0,0,catboost
source_label,landsat,516,0.06821242685672796,9.54,B,0,0,catboost
source_label,modis,192,0.06460245997667675,10.62,B,0,0,catboost
source_label,s2,492,0.07243592669028051,8.27,B,0,0,catboost
gap_length,1,864,0.06832966787990705,9.5,B,0,0,catboost
gap_length,2,272,0.06999270825692915,9.0,B,0,0,catboost
gap_length,3,45,0.07460019597645869,7.62,B,0,0,catboost
gap_length,4,4,0.0427771353094649,17.17,B,0,0,catboost
gap_length,5,15,0.10311344470565492,0.0,B,0,0,catboost
left_distance_bin,0-7,988,0.06814049494640524,9.56,B,0,0,catboost
left_distance_bin,16-30,37,0.06839311929936501,9.48,B,0,0,catboost
left_distance_bin,31+,24,0.07793157570228294,6.62,B,0,0,catboost
left_distance_bin,8-15,150,0.07645980643100526,7.06,B,0,0,catboost
left_distance_bin,none,1,0.02390968243063324,22.83,B,0,0,catboost
right_distance_bin,0-7,974,0.06435971130844614,10.69,B,0,0,catboost
right_distance_bin,16-30,29,0.08210576142667576,5.37,B,0,0,catboost
right_distance_bin,31+,16,0.04212570613522788,17.36,B,0,0,catboost
right_distance_bin,8-15,180,0.0920541629803022,2.38,B,0,0,catboost
right_distance_bin,none,1,0.006740631363935878,27.98,B,0,0,catboost
year,2010,45,0.04977216310071283,15.07,B,0,0,catboost
year,2011,41,0.04959124958620529,15.12,B,0,0,catboost
year,2012,30,0.07048095155114702,8.86,B,0,0,catboost
year,2013,37,0.06433327413194322,10.7,B,0,0,catboost
year,2014,46,0.05866881207648736,12.4,B,0,0,catboost
year,2015,34,0.06313484325731719,11.06,B,0,0,catboost
year,2016,41,0.09096675467379667,2.71,B,0,0,catboost
year,2017,86,0.04882495518117145,15.35,B,0,0,catboost
year,2018,89,0.05564448524529697,13.31,B,0,0,catboost
year,2019,122,0.0665586328333089,10.03,B,0,0,catboost
year,2020,135,0.061984965138644016,11.4,B,0,0,catboost
year,2021,110,0.10300599040022408,0.0,B,0,0,catboost
year,2022,139,0.07567482178757881,7.3,B,0,0,catboost
year,2023,127,0.06773838325948621,9.68,B,0,0,catboost
year,2024,118,0.0683036982498827,9.51,B,0,0,catboost
confidence_bin,low,4,0.06794780228262383,9.62,B,0,0,catboost
confidence_bin,medium,269,0.07356496920668773,7.93,B,0,0,catboost
confidence_bin,high,927,0.06818248602112903,9.55,B,0,0,catboost
overall,all,1200,0.07160768731099433,8.52,B,0,1,catboost
seen_polygon,False,1200,0.07160768731099433,8.52,B,0,1,catboost
crop_type,зерновые,277,0.0642157592195162,10.74,B,0,1,catboost
crop_type,озимая пшеница,856,0.07531170900804847,7.41,B,0,1,catboost
crop_type,подсолнечник,67,0.048227012449084054,15.53,B,0,1,catboost
source_label,landsat,448,0.0701733815672002,8.95,B,0,1,catboost
source_label,modis,200,0.05207614362135977,14.38,B,0,1,catboost
source_label,s2,552,0.07853643288496329,6.44,B,0,1,catboost
gap_length,1,863,0.06706950585471022,9.88,B,0,1,catboost
gap_length,2,236,0.06860448689277211,9.42,B,0,1,catboost
gap_length,3,57,0.0681213159993229,9.56,B,0,1,catboost
gap_length,4,24,0.07419493296141921,7.74,B,0,1,catboost
gap_length,5,20,0.19541822484698063,0.0,B,0,1,catboost
left_distance_bin,0-7,1002,0.07028365997732852,8.91,B,0,1,catboost
left_distance_bin,16-30,34,0.046780611592352084,15.97,B,0,1,catboost
left_distance_bin,31+,20,0.08151682809510193,5.54,B,0,1,catboost
left_distance_bin,8-15,142,0.0832047109178603,5.04,B,0,1,catboost
left_distance_bin,none,2,0.0810705866918716,5.68,B,0,1,catboost
right_distance_bin,0-7,991,0.06865763514772685,9.4,B,0,1,catboost
right_distance_bin,16-30,32,0.12924423596004442,0.0,B,0,1,catboost
right_distance_bin,31+,17,0.0988975356826458,0.33,B,0,1,catboost
right_distance_bin,8-15,160,0.06986345734801781,9.04,B,0,1,catboost
year,2010,39,0.04931933149216343,15.2,B,0,1,catboost
