dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
gap_length,3,66,0.1729401658987006,0.0,A,0,0,seasonal_crop
gap_length,4,4,0.2267357980662683,0.0,A,0,0,seasonal_crop
gap_length,5,5,0.34414349939296524,0.0,A,0,0,seasonal_crop
left_distance_bin,0-7,1018,0.1848358968011342,0.0,A,0,0,seasonal_crop
left_distance_bin,16-30,21,0.17910695233953122,0.0,A,0,0,seasonal_crop
left_distance_bin,31+,22,0.15578678569352503,0.0,A,0,0,seasonal_crop
left_distance_bin,8-15,138,0.17839399193774838,0.0,A,0,0,seasonal_crop
left_distance_bin,none,1,0.02648671674982589,22.05,A,0,0,seasonal_crop
right_distance_bin,0-7,1003,0.18198575180713625,0.0,A,0,0,seasonal_crop
right_distance_bin,16-30,34,0.15990396125262107,0.0,A,0,0,seasonal_crop
right_distance_bin,31+,14,0.1579753797059935,0.0,A,0,0,seasonal_crop
right_distance_bin,8-15,147,0.20057007956404369,0.0,A,0,0,seasonal_crop
right_distance_bin,none,2,0.12010590700487422,0.0,A,0,0,seasonal_crop
year,2010,28,0.14233567093713217,0.0,A,0,0,seasonal_crop
year,2011,43,0.1786765502555838,0.0,A,0,0,seasonal_crop
year,2012,11,0.15889750983150192,0.0,A,0,0,seasonal_crop
year,2013,32,0.15343313543483117,0.0,A,0,0,seasonal_crop
year,2014,39,0.1619931264817433,0.0,A,0,0,seasonal_crop
year,2015,36,0.1436665078201796,0.0,A,0,0,seasonal_crop
year,2016,36,0.1788280894975918,0.0,A,0,0,seasonal_crop
year,2017,88,0.16910550543909172,0.0,A,0,0,seasonal_crop
year,2018,67,0.17410232297232608,0.0,A,0,0,seasonal_crop
year,2019,144,0.16104118416796812,0.0,A,0,0,seasonal_crop
year,2020,155,0.18705232020940424,0.0,A,0,0,seasonal_crop
year,2021,137,0.1984463619770878,0.0,A,0,0,seasonal_crop
year,2022,125,0.21088712925541037,0.0,A,0,0,seasonal_crop
year,2023,130,0.2081051167146896,0.0,A,0,0,seasonal_crop
year,2024,129,0.18045937294455305,0.0,A,0,0,seasonal_crop
confidence_bin,low,97,0.1741575659774742,0.0,A,0,0,seasonal_crop
confidence_bin,medium,846,0.18643069085880906,0.0,A,0,0,seasonal_crop
confidence_bin,high,257,0.17679950170225164,0.0,A,0,0,seasonal_crop
overall,all,1200,0.09076804465060621,2.77,A,0,0,pchip
seen_polygon,False,1022,0.09225381218239873,2.32,A,0,0,pchip
seen_polygon,True,178,0.08171623978985464,5.49,A,0,0,pchip
crop_type,зерновые,275,0.06810000262315397,9.57,A,0,0,pchip
crop_type,озимая пшеница,796,0.10070113919629145,0.0,A,0,0,pchip
crop_type,пастбища/зерновые,110,0.06196811424373124,11.41,A,0,0,pchip
crop_type,подсолнечник,19,0.07842019297499511,6.47,A,0,0,pchip
source_label,landsat,512,0.08096400408052812,5.71,A,0,0,pchip
source_label,modis,178,0.11759941007163813,0.0,A,0,0,pchip
source_label,s2,510,0.08931861799440255,3.2,A,0,0,pchip
gap_length,1,911,0.0888886682064003,3.33,A,0,0,pchip
gap_length,2,214,0.09176297209640798,2.47,A,0,0,pchip
gap_length,3,66,0.11115294641076921,0.0,A,0,0,pchip
gap_length,4,4,0.024031476564331224,22.79,A,0,0,pchip
gap_length,5,5,0.11739096262940155,0.0,A,0,0,pchip
left_distance_bin,0-7,1018,0.08493632944583404,4.52,A,0,0,pchip
left_distance_bin,16-30,21,0.10093807420147222,0.0,A,0,0,pchip
left_distance_bin,31+,22,0.1152507677143331,0.0,A,0,0,pchip
left_distance_bin,8-15,138,0.12129947173869185,0.0,A,0,0,pchip
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,pchip
right_distance_bin,0-7,1003,0.08748443071578506,3.75,A,0,0,pchip
right_distance_bin,16-30,34,0.10044046318886142,0.0,A,0,0,pchip
right_distance_bin,31+,14,0.15375175223415144,0.0,A,0,0,pchip
right_distance_bin,8-15,147,0.10193894240480462,0.0,A,0,0,pchip
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,pchip
year,2010,28,0.07706380918526368,6.88,A,0,0,pchip
year,2011,43,0.09839106904080057,0.48,A,0,0,pchip
year,2012,11,0.12413842277570268,0.0,A,0,0,pchip
year,2013,32,0.097245608990271,0.83,A,0,0,pchip
year,2014,39,0.09053306555582805,2.84,A,0,0,pchip
year,2015,36,0.08104543215799136,5.69,A,0,0,pchip
year,2016,36,0.10546327676234812,0.0,A,0,0,pchip
year,2017,88,0.08830766904563087,3.51,A,0,0,pchip
year,2018,67,0.07479986376241106,7.56,A,0,0,pchip
year,2019,144,0.09057047869988438,2.83,A,0,0,pchip
year,2020,155,0.0808910863343338,5.73,A,0,0,pchip
year,2021,137,0.10992923136531439,0.0,A,0,0,pchip
year,2022,125,0.06454351700712338,10.64,A,0,0,pchip
year,2023,130,0.10855097674547572,0.0,A,0,0,pchip
year,2024,129,0.0840215731932881,4.79,A,0,0,pchip
confidence_bin,low,97,0.09601413392242793,1.2,A,0,0,pchip
confidence_bin,medium,846,0.091202411302352,2.64,A,0,0,pchip
confidence_bin,high,257,0.0872284877460099,3.83,A,0,0,pchip
overall,all,1200,0.09502685625495454,1.49,A,0,0,akima
seen_polygon,False,1022,0.09702526562767042,0.89,A,0,0,akima
seen_polygon,True,178,0.08262260463396578,5.21,A,0,0,akima
crop_type,зерновые,275,0.07026651039380423,8.92,A,0,0,akima
crop_type,озимая пшеница,796,0.10581824463774007,0.0,A,0,0,akima
crop_type,пастбища/зерновые,110,0.06461245249516447,10.62,A,0,0,akima
crop_type,подсолнечник,19,0.07466014294275401,7.6,A,0,0,akima
source_label,landsat,512,0.08626793250325512,4.12,A,0,0,akima
