feature,importance
date_crop_landsat_mean,0.3437517726716172
primary_nearest,0.33723437195022715
donor_landsat_10,0.33297628669207724
date_crop_s2_std,0.32716086330823224
calendar_cos_16,0.3123050985269596
modis_next3,0.30453250824463135
donor_landsat_confidence,0.30210007829211444
s2_minus_clim,0.3020953084885313
landsat_ndwi_next1,0.29446362068207566
landsat_ndwi_nearest,0.2763967769195171
modis_evi_prev2,0.2748132848195629
calendar_cos_182.625,0.2742536401982673
date_all_s2_count,0.27208732505239286
s2_ndwi_std21,0.27147387069719836
donor_s2_10_n,0.2686166372457566
landsat_next4,0.26801665025882765
landsat_ndwi_slope,0.26153988318052296
modis_prev1,0.26034500224729534
landsat_slope,0.25670990231992
date_crop_primary_std,0.25307000617451275
date_all_primary_std,0.2517231822502754
donor_landsat_3,0.2452601688552139
modis_evi_prev1,0.24098573204611176
donor_s2_3,0.23913534294210093
landsat_ndwi_mean21,0.23877135995644666
s2_evi_robust_linear,0.2354765556748895
era5_precip_mm_next1,0.23312348533374275
s2_ndwi_robust_linear,0.23184445487289018
date_crop_s2_count,0.22332786388319364
date_crop_modis_count,0.22122298669778034
date_all_s2_mean,0.21074783337910777
calendar_cos_365.25,0.2041350552248535
modis_evi_next2,0.2017796755070762
modis_prev4,0.20008641536924088
date_crop_landsat_count,0.19875183620511871
landsat_ndwi_linear,0.194083269025456
donor_landsat_10_n,0.1907193072052861
landsat_ndwi_next2,0.18752485178255904
primary_std21,0.18725709013430145
date_crop_landsat_std,0.18365856190007493
s2_ndwi_midpoint,0.18330907538862024
primary_minus_clim,0.18298446016540953
modis_phase16_prev,0.17933154818026803
calendar_sin_182.625,0.17618228115823764
s2_nearest,0.16900226435284188
era5_temp_c_slope,0.16816317974685713
modis_evi_mean21,0.16719556408842653
landsat_evi_prev2,0.16678350964911748
s2_midpoint,0.1659558859245939
landsat_prev4,0.16543924432221122
landsat_next2,0.15608074102394773
primary_next1,0.15607307207675755
landsat_donor_disagreement,0.15567086776509845
landsat_ndwi_mean45,0.1538597278070637
landsat_ndwi_prev2,0.1530287176366152
era5_precip_mm_prev1,0.15095426855100336
primary_prev4,0.15065932488053246
landsat_evi_next2,0.14992704455311853
primary_prev1_days,0.149911873672327
modis_next2,0.14872795640455727
landsat_ndwi_prev1,0.14518352066845405
doy,0.14478200605368255
landsat_evi_next1,0.14206879680178824
s2_slope,0.14003135936428524
donor_modis_confidence,0.13956105764714036
donor_s2_confidence,0.1395476690176368
primary_next1_days,0.1393303272433129
date_all_landsat_count,0.13871827364794329
era5_precip_mm_slope,0.13616184629992653
era5_precip_mm_nearest,0.13602289117544214
primary_slope,0.13590653548662587
date_all_landsat_std,0.12918019316877907
landsat_phase16_prev,0.12819585015429205
clim_primary_mean,0.12528078134387266
date_crop_modis_std,0.12521741600247155
clim_modis_mean,0.12521476507142296
era5_precip_mm_prev2,0.12494311611465106
modis_next4,0.12349497516389193
primary_prev2_days,0.12149927910026144
date_all_landsat_median,0.12077977334070396
modis_prev3,0.1206540675724685
landsat_minus_clim,0.11956584471210703
landsat_evi_midpoint,0.11952992946197592
modis_nearest,0.11924832223577392
s2_next4,0.11907240065112255
primary_next3,0.1182418573659416
era5_temp_c_prev1,0.11690605980283399
s2_next3,0.1157840390266581
modis_std21,0.11487792637557825
s2_next1,0.11414494791642496
calendar_sin_5,0.11175496675643433
landsat_evi_slope,0.11137607055760032
calendar_cos_8,0.10936859884032195
date_all_s2_median,0.10894331559352337
date_all_landsat_mean,0.1063309017938138
s2_evi_prev1,0.10493713271050029
modis_evi_nearest,0.1017138163674519
modis_next1,0.10163074467342652
modis_evi_mean45,0.1009508505703163
era5_precip_mm_next2,0.09939359449322288
landsat_next3,0.09899753667504708
s2_ndwi_slope,0.09798135719320836
era5_precip_mm_midpoint,0.09713881481083188
s2_count,0.09274943631377823
primary_next4_days,0.0923189194559333
landsat_evi_std21,0.09225406542777387
primary_next4,0.08814580005397446
calendar_cos_32,0.08722330564236677
s2_ndwi_nearest,0.08603071947486607
landsat_prev2,0.08582827768958186
landsat_next1_days,0.08552661114724526
s2_prev1,0.08500163455475433
landsat_prev3,0.08475483256221626
donor_landsat_3_n,0.08283657978437266
landsat_count,0.08035631286614515
landsat_ndwi_midpoint,0.07754159093602755
landsat_ndwi_next1_days,0.07704699526821157
era5_temp_c_mean21,0.0760593710331317
modis_prev1_days,0.07589977683901869
era5_temp_c_prev2,0.07402152591936143
landsat_prev1_days,0.07344029006455781
modis_evi_prev1_days,0.07335810667328653
landsat_prev3_days,0.07328822338211778
s2_phase16_prev,0.07291832088004686
