anon_polygon_id,start,end,duration_days,n_points,n_observed,min_z,mean_z,negative_area,confidence,severity,level,reason_codes,explanation
AOI-0029,2013-05-25,2013-06-26,32,5,5,-4.688418119890141,-2.7042375783077213,9.673653372438558,1.0,9.6737,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2013-05-25 по 2013-06-26 (32 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -4.69. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0035,2024-05-09,2024-06-02,24,10,10,-1.7281646828824526,-1.3445272967694493,9.660777323275507,1.0,9.6608,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2024-05-09 по 2024-06-02 (24 дн.) NDVI поля AOI-0035 был ниже собственной исторической нормы, минимум z = -1.73. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0078,2018-06-28,2018-07-25,27,8,7,-1.7344662299003515,-1.4532246467100824,9.5641758404784,1.0,9.5642,угнетение,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2018-06-28 по 2018-07-25 (27 дн.) NDVI поля AOI-0078 был ниже собственной исторической нормы, минимум z = -1.73. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0008,2014-05-29,2014-07-24,56,9,9,-2.22912986916562,-1.6702687195407264,9.521069961027125,1.0,9.5211,критическая,длительное отклонение,"С 2014-05-29 по 2014-07-24 (56 дн.) NDVI поля AOI-0008 был ниже собственной исторической нормы, минимум z = -2.23. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0041,2020-08-27,2020-10-26,60,31,31,-3.2638045599365637,-1.7288588453972005,9.509209078424453,1.0,9.5092,критическая,длительное отклонение,"С 2020-08-27 по 2020-10-26 (60 дн.) NDVI поля AOI-0041 был ниже собственной исторической нормы, минимум z = -3.26. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0023,2021-04-30,2021-05-23,23,12,12,-2.5223644166876733,-1.708329179149587,9.316841878995486,1.0,9.3168,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2021-04-30 по 2021-05-23 (23 дн.) NDVI поля AOI-0023 был ниже собственной исторической нормы, минимум z = -2.52. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0025,2023-05-13,2023-06-06,24,5,4,-2.5995338254115596,-1.6958295363529576,9.30746490527792,1.0,9.3075,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2023-05-13 по 2023-06-06 (24 дн.) NDVI поля AOI-0025 был ниже собственной исторической нормы, минимум z = -2.60. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0047,2024-05-21,2024-06-09,19,6,5,-2.053833709760605,-1.5524635434270733,9.122935268545527,1.0,9.1229,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2024-05-21 по 2024-06-09 (19 дн.) NDVI поля AOI-0047 был ниже собственной исторической нормы, минимум z = -2.05. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
AOI-0008,2020-04-25,2020-05-17,22,8,8,-2.976553225370832,-2.117135127494341,9.100558865498854,1.0,9.1006,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2020-04-25 по 2020-05-17 (22 дн.) NDVI поля AOI-0008 был ниже собственной исторической нормы, минимум z = -2.98. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0053,2024-05-09,2024-06-13,35,14,14,-2.6061183243728667,-1.8911736443145153,9.038679837780224,1.0,9.0387,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2024-05-09 по 2024-06-13 (35 дн.) NDVI поля AOI-0053 был ниже собственной исторической нормы, минимум z = -2.61. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0056,2018-04-04,2018-05-15,41,13,13,-2.1352719187382325,-1.6922422245352742,9.037942298774993,1.0,9.0379,критическая,длительное отклонение,"С 2018-04-04 по 2018-05-15 (41 дн.) NDVI поля AOI-0056 был ниже собственной исторической нормы, минимум z = -2.14. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0020,2018-06-24,2018-08-13,50,14,14,-2.1480168916091116,-1.5631881931770546,8.900349062871534,1.0,8.9003,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2018-06-24 по 2018-08-13 (50 дн.) NDVI поля AOI-0020 был ниже собственной исторической нормы, минимум z = -2.15. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0015,2015-05-15,2015-06-09,25,8,8,-2.79035513018208,-2.0973050012259247,8.822193874022828,1.0,8.8222,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2015-05-15 по 2015-06-09 (25 дн.) NDVI поля AOI-0015 был ниже собственной исторической нормы, минимум z = -2.79. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0064,2021-04-30,2021-05-20,20,11,11,-3.4803808328442876,-2.866111253567655,8.727231580179442,1.0,8.7272,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2021-04-30 по 2021-05-20 (20 дн.) NDVI поля AOI-0064 был ниже собственной исторической нормы, минимум z = -3.48. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0011,2019-04-25,2019-05-21,26,12,12,-3.5843701057193313,-2.1208658355471486,8.670731319744744,1.0,8.6707,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2019-04-25 по 2019-05-21 (26 дн.) NDVI поля AOI-0011 был ниже собственной исторической нормы, минимум z = -3.58. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0034,2015-04-07,2015-05-17,40,6,5,-2.93283919345595,-1.6923761527284882,8.655575408082324,1.0,8.6556,критическая,длительное отклонение,"С 2015-04-07 по 2015-05-17 (40 дн.) NDVI поля AOI-0034 был ниже собственной исторической нормы, минимум z = -2.93. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0020,2023-05-12,2023-06-07,26,8,8,-2.2476745256432493,-1.604547593883022,8.515185630196616,1.0,8.5152,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2023-05-12 по 2023-06-07 (26 дн.) NDVI поля AOI-0020 был ниже собственной исторической нормы, минимум z = -2.25. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0047,2013-06-10,2013-07-05,25,6,5,-5.791546626907028,-2.8437085151092574,8.456796532743368,1.0,8.4568,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля),"С 2013-06-10 по 2013-07-05 (25 дн.) NDVI поля AOI-0047 был ниже собственной исторической нормы, минимум z = -5.79. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля). Это описание отклонения, а не установленная причина."
AOI-0016,2017-05-12,2017-06-10,29,8,8,-3.519832735037028,-2.160073123178847,8.151545253059593,1.0,8.1515,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2017-05-12 по 2017-06-10 (29 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -3.52. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0064,2018-04-11,2018-05-03,22,6,6,-3.877847054782735,-2.4220305090876413,8.028787973545773,1.0,8.0288,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2018-04-11 по 2018-05-03 (22 дн.) NDVI поля AOI-0064 был ниже собственной исторической нормы, минимум z = -3.88. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
AOI-0047,2022-05-25,2022-06-11,17,10,6,-2.146400702123253,-1.6503646177712405,7.960456937338074,1.0,7.9605,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2022-05-25 по 2022-06-11 (17 дн.) NDVI поля AOI-0047 был ниже собственной исторической нормы, минимум z = -2.15. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
AOI-0053,2018-06-15,2018-07-17,32,11,11,-3.38758097735402,-2.5192800282923713,7.749033525293184,1.0,7.749,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2018-06-15 по 2018-07-17 (32 дн.) NDVI поля AOI-0053 был ниже собственной исторической нормы, минимум z = -3.39. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0064,2021-04-02,2021-04-22,20,6,6,-2.4483566902960106,-2.0238727103130056,7.711828263478879,1.0,7.7118,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2021-04-02 по 2021-04-22 (20 дн.) NDVI поля AOI-0064 был ниже собственной исторической нормы, минимум z = -2.45. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0023,2023-05-20,2023-06-07,18,5,5,-3.372396415110443,-2.6049389582037703,7.512021624152689,1.0,7.512,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2023-05-20 по 2023-06-07 (18 дн.) NDVI поля AOI-0023 был ниже собственной исторической нормы, минимум z = -3.37. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0016,2016-05-18,2016-06-19,32,7,4,-3.2963815319181484,-2.094217577452419,7.498041580024128,1.0,7.498,критическая,длительное отклонение,"С 2016-05-18 по 2016-06-19 (32 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -3.30. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
